Artikelnr.,Ordercode,RoHS-compatibel?,Uw art.nr.,Opmerkingen,Hoeveelheid,Artikelnummer fabrikant,Naam fabrikant,Fabrikant / beschrijving,Beschikbaarheid,Prijs per stuk,Artikelprijs,Prijs na korting
25,2668408,RoHS: YES / FTALATEN: TBA,,,20.0,"SPC15494",MULTICOMP,"MULTICOMP  IC & Component Socket, 8 Contacts, DIP Socket, 2.54 mm, 7.62 mm, Phosphor Bronze",15689,0.1400,2.80,,
26,1841375,RoHS: YES / FTALATEN: TBA,,,100.0,"61900311621",WURTH ELEKTRONIK,"WURTH ELEKTRONIK  Wire-To-Board Connector, 2.54 mm, 3 Contacts, Receptacle, WR-WTB Series, 1 Rows",2805,0.0760,7.60,,
27,1841425,RoHS: YES / FTALATEN: TBA,,,100.0,"61900113722DEC",WURTH ELEKTRONIK,"WURTH ELEKTRONIK  Contact, WR-WTB Series, Socket, Crimp, 22 AWG, 28 AWG",11016,0.0840,8.40,,
28,9340459,RoHS: YES / FTALATEN: TBA,,,32.0,"MF50 3R3",MULTICOMP,"MULTICOMP  Through Hole Resistor, 3.3 ohm, MF50 Series, 500 mW, ± 1%, Axial Leaded, 350 V",578,0.1240,3.97,,
29,1466822,RoHS: Y-EX / FTALATEN: TBA,,,32.0,"05.03.151",ETTINGER,"ETTINGER  Standoff, Zinc Plated, Steel, M3, Hex Female, 15 mm, 05.03 Series",2595,0.3470,11.10,,

,,,,,,,Subtotaal,325.53
,,,,,,,Totaal aantal goederen,325.53
,,,,,,,Levering,0.00
,,,,,,,Kosten directe verzending,25.00
,,,,,,,BTW,4.75
,,,,,,,Totaal,355.28
